date,sitename,county,aqi,status
26-08-2024 22:00,Annan,Tainan City,41,Good
26-08-2024 21:00,Annan,Tainan City,41,Good
26-08-2024 20:00,Annan,Tainan City,40,Good
26-08-2024 19:00,Annan,Tainan City,36,Good
26-08-2024 18:00,Annan,Tainan City,34,Good
26-08-2024 17:00,Annan,Tainan City,33,Good
26-08-2024 16:00,Annan,Tainan City,33,Good
26-08-2024 15:00,Annan,Tainan City,35,Good
26-08-2024 14:00,Annan,Tainan City,36,Good
26-08-2024 13:00,Annan,Tainan City,36,Good
26-08-2024 12:00,Annan,Tainan City,39,Good
26-08-2024 11:00,Annan,Tainan City,40,Good
26-08-2024 10:00,Annan,Tainan City,43,Good
26-08-2024 09:00,Annan,Tainan City,46,Good
26-08-2024 08:00,Annan,Tainan City,47,Good
26-08-2024 07:00,Annan,Tainan City,46,Good
26-08-2024 06:00,Annan,Tainan City,43,Good
26-08-2024 05:00,Annan,Tainan City,40,Good
26-08-2024 04:00,Annan,Tainan City,36,Good
26-08-2024 03:00,Annan,Tainan City,36,Good
26-08-2024 02:00,Annan,Tainan City,35,Good
26-08-2024 01:00,Annan,Tainan City,35,Good
26-08-2024 00:00,Annan,Tainan City,35,Good
25-08-2024 23:00,Annan,Tainan City,35,Good
25-08-2024 22:00,Annan,Tainan City,37,Good
25-08-2024 21:00,Annan,Tainan City,35,Good
25-08-2024 20:00,Annan,Tainan City,32,Good
25-08-2024 19:00,Annan,Tainan City,32,Good
25-08-2024 18:00,Annan,Tainan City,34,Good
25-08-2024 17:00,Annan,Tainan City,34,Good
25-08-2024 16:00,Annan,Tainan City,34,Good
25-08-2024 15:00,Annan,Tainan City,32,Good
25-08-2024 14:00,Annan,Tainan City,31,Good
25-08-2024 13:00,Annan,Tainan City,32,Good
25-08-2024 12:00,Annan,Tainan City,32,Good
25-08-2024 11:00,Annan,Tainan City,33,Good
25-08-2024 10:00,Annan,Tainan City,33,Good
25-08-2024 09:00,Annan,Tainan City,32,Good
25-08-2024 08:00,Annan,Tainan City,30,Good
25-08-2024 07:00,Annan,Tainan City,28,Good
25-08-2024 06:00,Annan,Tainan City,27,Good
25-08-2024 05:00,Annan,Tainan City,30,Good
25-08-2024 04:00,Annan,Tainan City,31,Good
25-08-2024 03:00,Annan,Tainan City,31,Good
25-08-2024 02:00,Annan,Tainan City,31,Good
25-08-2024 01:00,Annan,Tainan City,31,Good
25-08-2024 00:00,Annan,Tainan City,32,Good
24-08-2024 23:00,Annan,Tainan City,33,Good
24-08-2024 22:00,Annan,Tainan City,34,Good
24-08-2024 21:00,Annan,Tainan City,33,Good
24-08-2024 20:00,Annan,Tainan City,33,Good
24-08-2024 19:00,Annan,Tainan City,32,Good
24-08-2024 18:00,Annan,Tainan City,32,Good
24-08-2024 17:00,Annan,Tainan City,33,Good
24-08-2024 16:00,Annan,Tainan City,35,Good
24-08-2024 15:00,Annan,Tainan City,37,Good
24-08-2024 14:00,Annan,Tainan City,40,Good
24-08-2024 13:00,Annan,Tainan City,40,Good
24-08-2024 12:00,Annan,Tainan City,39,Good
24-08-2024 11:00,Annan,Tainan City,39,Good
24-08-2024 10:00,Annan,Tainan City,38,Good
24-08-2024 09:00,Annan,Tainan City,39,Good
24-08-2024 08:00,Annan,Tainan City,39,Good
24-08-2024 07:00,Annan,Tainan City,40,Good
24-08-2024 06:00,Annan,Tainan City,39,Good
24-08-2024 05:00,Annan,Tainan City,41,Good
24-08-2024 04:00,Annan,Tainan City,39,Good
24-08-2024 03:00,Annan,Tainan City,38,Good
24-08-2024 02:00,Annan,Tainan City,36,Good
24-08-2024 01:00,Annan,Tainan City,34,Good
24-08-2024 00:00,Annan,Tainan City,33,Good
23-08-2024 23:00,Annan,Tainan City,30,Good
23-08-2024 22:00,Annan,Tainan City,29,Good
23-08-2024 21:00,Annan,Tainan City,28,Good
23-08-2024 20:00,Annan,Tainan City,28,Good
23-08-2024 19:00,Annan,Tainan City,28,Good
23-08-2024 18:00,Annan,Tainan City,30,Good
23-08-2024 17:00,Annan,Tainan City,31,Good
23-08-2024 16:00,Annan,Tainan City,31,Good
23-08-2024 15:00,Annan,Tainan City,31,Good
23-08-2024 14:00,Annan,Tainan City,29,Good
23-08-2024 13:00,Annan,Tainan City,30,Good
23-08-2024 12:00,Annan,Tainan City,31,Good
23-08-2024 11:00,Annan,Tainan City,34,Good
23-08-2024 10:00,Annan,Tainan City,39,Good
23-08-2024 09:00,Annan,Tainan City,40,Good
23-08-2024 08:00,Annan,Tainan City,40,Good
23-08-2024 07:00,Annan,Tainan City,41,Good
23-08-2024 06:00,Annan,Tainan City,36,Good
23-08-2024 05:00,Annan,Tainan City,33,Good
23-08-2024 04:00,Annan,Tainan City,31,Good
23-08-2024 03:00,Annan,Tainan City,27,Good
23-08-2024 02:00,Annan,Tainan City,28,Good
23-08-2024 01:00,Annan,Tainan City,30,Good
23-08-2024 00:00,Annan,Tainan City,32,Good
22-08-2024 23:00,Annan,Tainan City,34,Good
22-08-2024 22:00,Annan,Tainan City,34,Good
22-08-2024 21:00,Annan,Tainan City,34,Good
22-08-2024 20:00,Annan,Tainan City,34,Good
22-08-2024 19:00,Annan,Tainan City,34,Good
22-08-2024 18:00,Annan,Tainan City,32,Good
22-08-2024 17:00,Annan,Tainan City,31,Good
